"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","270767000","N/A","1660000"
"0 - Did not misuse in the past year","Overall","0.958","0.0007","0.957","0.96","1","0","N/A","N/A","0.958","0.0007","0.957","0.96","259498000","N/A","1613000"
"1 - Misused within the past year","Overall","0.042","0.0007","0.04","0.043","1","0","N/A","N/A","0.042","0.0007","0.04","0.043","11268000","N/A","209000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","585000","N/A","26000"
"0 - Did not misuse in the past year","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.949","0.0065","0.935","0.96","556000","N/A","26000"
"1 - Misused within the past year","AK","0","0","0","0","0.003","0.0003","0.002","0.003","0.051","0.0065","0.04","0.065","30000","N/A","4000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4071000","N/A","181000"
"0 - Did not misuse in the past year","AL","0.014","0.0007","0.013","0.016","0.015","0.0007","0.014","0.016","0.956","0.0052","0.944","0.965","3890000","N/A","177000"
"1 - Misused within the past year","AL","0.001","0.0001","0.001","0.001","0.016","0.0019","0.013","0.02","0.044","0.0052","0.035","0.056","181000","N/A","21000"
"Overall","AR","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2475000","N/A","116000"
"0 - Did not misuse in the past year","AR","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.01","0.943","0.0072","0.927","0.955","2334000","N/A","110000"
"1 - Misused within the past year","AR","0.001","0.0001","0","0.001","0.013","0.0017","0.01","0.016","0.057","0.0072","0.045","0.073","142000","N/A","20000"
"Overall","AZ","0.021","0.0009","0.02","0.023","0.021","0.0009","0.02","0.023","1","0","N/A","N/A","5788000","N/A","242000"
"0 - Did not misuse in the past year","AZ","0.02","0.0008","0.019","0.022","0.021","0.0009","0.02","0.023","0.958","0.0062","0.944","0.969","5547000","N/A","234000"
"1 - Misused within the past year","AZ","0.001","0.0001","0.001","0.001","0.021","0.0033","0.016","0.029","0.042","0.0062","0.031","0.056","242000","N/A","37000"
"Overall","CA","0.121","0.0022","0.117","0.126","0.121","0.0022","0.117","0.126","1","0","N/A","N/A","32849000","N/A","657000"
